Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
4552,244540,Nivedan Vanijya Niyojan Ltd.,,,,,Listed,,L01409WB1981PLC033998,Finance - NBFC
4553,112245,Nivi Trading Ltd.,512245,,NVT IN,NIVI.BO,Listed,INE552F01011,L99999MH1985PLC036391,Trading
4554,121009,Niwas Spinning Mills Ltd.,521009,,NWSM IN,,Listed,,L17110PN1984PLC032702,Textile - Spinning
4555,245636,Niyogin Fintech Ltd.,538772,,NIYOGIN IN,M3GL.BO,Listed,INE480D01010,L65910MH1988PLC239746,Finance - Investment
4556,119494,NK Industries Ltd.,519494,NKIND,NKI IN,NKIN.BO,Listed,INE542C01019,L91110GJ1987PLC009905,Solvent  Extraction
4557,244542,NK Textile Industries Ltd.,,,,,Listed,,L17299DL1983PLC163230,Finance - NBFC
4558,113683,NLC India Ltd.,513683,NLCINDIA,NLC IN,NELG.BO,Listed,INE589A01014,L93090TN1956GOI003507,Power Generation/Distribution
4559,126371,NMDC Ltd.,526371,NMDC,NMDC IN,NMDC.BO,Listed,INE584A01023,L13100AP1958GOI001674,Mining & Minerals
4560,122289,NMS Resources Global Ltd.,522289,,IFM IN,IFIG.BO,Listed,INE169F01014,L51909DL1986PLC025457,Trading
4561,130591,Noble Brothers Impex Ltd.,530591,,NBIMP IN,,Listed,,L51909DL1993PLC052741,Leather
4562,106991,Noble Explochem Ltd.,506991,,NEXP IN,NOBL.BO,Listed,INE875D01011,L24292MH1982PLC026728,Chemicals 
4563,276986,Noble Polymers Ltd.,539200,,NOPL IN,NOBE.BO,Listed,INE203Q01026,L17119GJ1994PLC022429,Plastic Products
4564,100730,Nocil Ltd.,500730,NOCIL,NOCIL IN,NOCI.BO,Listed,INE163A01018,L99999MH1961PLC012003,Chemicals 
4565,126789,Noel Agritech Ltd.,526789,,NLAGT IN,,Listed,INE154C01013,U01110MH1994PTC075997,Floriculture
